order_id,customer_id,order_date,status,is_completed
1,103,2024-10-31,Completed,True
2,271,2024-10-12,Completed,True
3,107,2024-05-23,Completed,True
4,72,2024-01-19,Completed,True
5,189,2024-01-18,Completed,True
6,21,2024-09-13,Completed,True
7,103,2024-03-18,Completed,True
8,122,2024-06-23,Cancelled,False
9,215,2024-07-12,Completed,True
10,88,2024-04-22,Completed,True
11,100,2024-04-23,Completed,True
12,152,2024-08-09,Completed,True
13,131,2024-06-14,Completed,True
14,150,2024-11-14,Completed,True
15,258,2024-05-11,Completed,True
16,294,2024-09-20,Completed,True
17,192,2024-02-24,Completed,True
18,277,2024-12-24,Completed,True
19,161,2024-05-10,Returned,False
20,22,2024-10-14,Completed,True
21,253,2024-09-22,Completed,True
22,236,2024-06-10,Completed,True
23,49,2024-03-27,Completed,True
24,59,2024-02-24,Completed,True
25,170,2024-10-14,Completed,True
26,188,2024-06-26,Returned,False
27,271,2024-12-14,Completed,True
28,190,2024-01-08,Completed,True
29,175,2024-11-16,Completed,True
30,51,2024-11-08,Completed,True
31,55,2024-09-03,Completed,True
32,244,2024-11-18,Completed,True
33,131,2024-09-11,Completed,True
34,135,2024-11-23,Cancelled,False
35,21,2024-02-23,Completed,True
36,167,2024-09-05,Completed,True
37,274,2024-08-26,Completed,True
38,89,2024-08-16,Completed,True
39,14,2024-03-07,Completed,True
40,242,2024-02-20,Completed,True
41,265,2024-04-06,Completed,True
42,53,2024-04-01,Cancelled,False
43,92,2024-09-20,Completed,True
44,264,2024-10-17,Completed,True
45,35,2024-04-05,Cancelled,False
46,206,2024-03-28,Completed,True
47,81,2024-03-18,Completed,True
48,50,2024-10-14,Completed,True
49,2,2024-04-29,Completed,True
50,54,2024-10-28,Completed,True
51,106,2024-06-13,Returned,False
52,260,2024-06-30,Completed,True
53,191,2024-08-10,Completed,True
54,218,2024-11-06,Completed,True
55,44,2024-01-07,Completed,True
56,162,2024-11-25,Completed,True
57,202,2024-09-19,Completed,True
58,270,2024-06-09,Returned,False
59,271,2024-05-30,Completed,True
60,215,2024-03-25,Completed,True
61,252,2024-05-26,Completed,True
62,190,2024-04-21,Completed,True
63,296,2024-02-05,Completed,True
64,213,2024-10-11,Completed,True
65,208,2024-07-06,Completed,True
66,237,2024-03-22,Completed,True
67,53,2024-01-02,Completed,True
68,280,2024-10-29,Completed,True
69,217,2024-07-15,Returned,False
70,252,2024-01-11,Completed,True
71,188,2024-08-21,Completed,True
72,41,2024-07-13,Completed,True
73,157,2024-04-28,Returned,False
74,15,2024-01-20,Returned,False
75,65,2024-09-17,Completed,True
76,9,2024-10-19,Cancelled,False
77,129,2024-09-12,Completed,True
78,136,2024-08-09,Completed,True
79,63,2024-08-13,Completed,True
80,139,2024-02-22,Completed,True
81,81,2024-12-20,Completed,True
82,163,2024-12-07,Cancelled,False
83,289,2024-12-29,Completed,True
84,261,2024-10-06,Completed,True
85,231,2024-03-21,Completed,True
86,41,2024-07-20,Completed,True
87,28,2024-06-06,Completed,True
88,135,2024-04-29,Completed,True
89,201,2024-02-28,Completed,True
90,268,2024-08-02,Returned,False
91,33,2024-05-07,Completed,True
92,48,2024-08-11,Completed,True
93,62,2024-07-27,Completed,True
94,216,2024-04-24,Completed,True
95,293,2024-07-27,Completed,True
96,99,2024-01-14,Completed,True
97,172,2024-01-09,Returned,False
98,214,2024-02-09,Completed,True
99,35,2024-08-24,Returned,False
100,227,2024-10-07,Cancelled,False
101,101,2024-12-24,Completed,True
102,131,2024-07-19,Returned,False
103,257,2024-09-02,Completed,True
104,5,2024-10-04,Cancelled,False
105,218,2024-08-22,Completed,True
106,255,2024-01-04,Cancelled,False
107,283,2024-06-02,Cancelled,False
108,207,2024-01-29,Cancelled,False
109,15,2024-04-18,Completed,True
110,42,2024-04-07,Completed,True
111,179,2024-08-02,Completed,True
112,63,2024-10-19,Completed,True
113,231,2024-03-15,Completed,True
114,241,2024-11-21,Completed,True
115,52,2024-05-25,Completed,True
116,96,2024-05-07,Returned,False
117,222,2024-12-06,Completed,True
118,231,2024-02-11,Cancelled,False
119,237,2024-12-21,Completed,True
120,143,2024-02-10,Cancelled,False
121,171,2024-02-03,Returned,False
122,29,2024-01-17,Completed,True
123,36,2024-06-13,Completed,True
124,13,2024-06-01,Completed,True
125,160,2024-03-16,Completed,True
126,187,2024-03-27,Completed,True
127,243,2024-04-26,Completed,True
128,86,2024-12-27,Completed,True
129,284,2024-12-07,Completed,True
130,66,2024-01-27,Completed,True
131,170,2024-11-08,Completed,True
132,45,2024-10-13,Completed,True
133,62,2024-05-13,Returned,False
134,134,2024-08-06,Completed,True
135,284,2024-06-16,Returned,False
